country,site_name,site_url
中国香港,香港土木工程拓展署,http://www.cedd.gov.hk
巴基斯坦,巴基斯坦邮政部,http://www.pakpost.gov.pk/
文莱,文莱总理办公室,http://www.pmo.gov.bn/
菲律宾,菲律宾教育部,http://deped.gov.ph
泰国,泰国驻华大使馆,http://www.thaiembbeij.org/thaiembbeij/cn/index.php
朝鲜,朝鲜的官方英文网站,http://www.korea-dpr.com
朝鲜,朝鲜《劳动新闻》,http://www.rodong.rep.kp
马来西亚,马来西亚知识产权局官方网站,http://www.myipo.gov.my
新加坡,新加坡统计局,http://www.singstat.gov.sg
日本,海上自卫队吴史料馆,http://www.jmsdf-kure-museum.jp/
韩国,韩国法务部,http://www.moj.go.kr
中国台湾,台湾中央研究院,http://www.sinica.edu.tw
塞内加尔,Galsen221,https://galsen221.com
塞内加尔,Senegal7,https://senegal7.com
塞内加尔,Leral.net,https://www.leral.net
塞内加尔,Sanslimitesn.com,https://sanslimitesn.com
塞内加尔,Senego.com,https://senego.com
中国台湾,嘉義市政府,http://www.chiayi.gov.tw
中国台湾,基隆市政府全球资讯网,http://www.klcg.gov.tw
塞内加尔,DAKARACTU.COM,https://www.dakaractu.com
塞内加尔,Seneweb,https://seneweb.com
中国台湾,高雄市政府全球资讯网,http://www.kcg.gov.tw
中国台湾,台湾财政部赋税署,http://www.dot.gov.tw
中国台湾,台北市政府全球资讯网,https://www.gov.taipei
中国台湾,我的E政府,http://www.gov.tw/
中国台湾,台湾国防部,http://www.mnd.gov.tw
韩国,Etoday,http://www.etoday.co.kr
韩国,亚洲经济,http://www.asiae.co.kr
韩国,韩国时报,http://www.koreatimes.co.kr
韩国,OhMyNews,http://ohmynews.com/
韩国,文化日报,http://www.munhwa.com/
韩国,京乡新闻,http://www.khan.co.kr/
韩国,韩民族日报,http://www.hani.co.kr/
韩国,世界日报,http://www.segye.com
韩国,韩国经济日报,http://www.hankyung.com
韩国,首尔日报,http://www.seoul.co.kr
韩国,韩国日报,http://www.hankooki.com/
韩国,韩国驻上海总领事馆,http://chn-shanghai.mofa.go.kr/worldlanguage/asia/chn-shanghai/main/index.jsp
韩国,韩国青瓦台,http://www.president.go.kr
韩国,中华人民共和国驻韩国大使馆经济商务参赞处,http://kr.mofcom.gov.cn
韩国,韩中友好协会,http://korea-china.or.kr/chinese/index.asp
韩国,釜山市政府,http://visit.busan.kr/chn/
韩国,济州道政府,http://chinese.jeju.go.kr/index.php
韩国,韩国外交部,http://www.mofat.go.kr
韩国,中华人民共和国驻大韩民国大使馆,http://www.chinaemb.or.kr
韩国,韩国教育部,http://www.moe.go.kr/
韩国,韩国驻中国大使馆,http://china.koreanembassy.cn
韩国,首尔市政府,http://chinese.seoul.go.kr/ch/index.cfm
韩国,韩国电子政府,http://www.korea.go.kr/
日本,日本陆上自卫队,http://www.mod.go.jp/gsdf/
日本,日本海上自卫队,http://www.mod.go.jp/msdf/
日本,日本航空自卫队,http://www.mod.go.jp/asdf/
日本,日本防卫省·自卫队,http://www.mod.go.jp/
新加坡,新加坡政府指南互动,http://sgdi.gov.sg
新加坡,新加坡海关,http://www.customs.gov.sg
新加坡,新加坡驻上海总领事馆,http://www.mfa.gov.sg/shanghaichi/
